x_acceleration,y_acceleration,z_acceleration
-1.078857,-0.2966309,0.6660156
-1.055664,-0.2475586,0.604248
-1.045654,-0.1335449,0.5649414
-1.069092,-0.02490234,0.5664063
-1.114258,0.06445313,0.5585938
-1.111572,0.1147461,0.4833984
-1.049072,0.08056641,0.3312988
-0.9570313,0.06079102,0.2648926
-0.9016113,0.06445313,0.2839355
-0.8869629,0.09667969,0.3071289
-0.8759766,0.1213379,0.2922363
-0.8613281,0.09545898,0.2595215
-0.8598633,0.01416016,0.2404785
-0.854248,-0.02392578,0.2199707
-0.8725586,-0.02758789,0.276123
-0.925293,-0.01123047,0.3439941
-0.953125,-0.02758789,0.3344727
-0.9890137,-0.05883789,0.3476563
-1.002686,-0.08544922,0.3867188
-0.9816895,0.02978516,0.3911133
-1.006104,0.03051758,0.3886719
