x_acceleration,y_acceleration,z_acceleration
-0.9882813,-0.1499023,0.3623047
-0.9904785,-0.1606445,0.3779297
-0.9584961,-0.08691406,0.3222656
-0.9467773,-0.02246094,0.3181152
-0.9213867,0.02392578,0.3105469
-0.9226074,-0.003417969,0.3120117
-0.9494629,0.01074219,0.302002
-0.9477539,0.04711914,0.2775879
-0.9575195,0.04394531,0.2495117
-0.9313965,0.002685547,0.182373
-0.9377441,-0.03979492,0.2216797
-0.9719238,-0.03564453,0.2668457
-0.9887695,0.001708984,0.262207
-0.9689941,-0.003662109,0.2314453
-0.970459,-0.08740234,0.2619629
-0.9787598,-0.05029297,0.2592773
-0.8701172,0.02490234,0.3618164
-0.9741211,0.02905273,0.2990723
