x_acceleration,y_acceleration,z_acceleration
-0.8059082,1.028564,-0.06176758
-0.8962402,0.7783203,-0.1491699
-0.9208984,0.322998,-0.3547363
-0.8876953,0.1108398,-0.2067871
-0.9057617,0.03198242,-0.1132813
-0.8815918,-0.2424316,0.05200195
-0.8186035,-0.4799805,0.07714844
-0.793457,-0.3588867,0.3183594
-0.7702637,-0.3205566,0.5466309
-0.7617188,-0.451416,0.5688477
-0.7541504,-0.6188965,0.5332031
-0.6918945,-0.5610352,0.4370117
-0.7282715,-0.4382324,0.5002441
-0.7385254,-0.4985352,0.5942383
-0.7851563,-0.449707,0.6335449
-0.840332,-0.4699707,0.5197754
-0.8615723,-0.3432617,0.4660645
-0.8981934,-0.2231445,0.5256348
-0.9477539,-0.2568359,0.5683594
-0.9680176,-0.2753906,0.5270996
-0.9533691,-0.2307129,0.467041
-0.9152832,-0.1479492,0.3967285
-0.8696289,-0.1069336,0.309082
-0.885498,-0.2077637,0.4350586
-0.9194336,-0.2099609,0.4191895
-0.9240723,-0.1240234,0.3991699
