x_acceleration,y_acceleration,z_acceleration
-0.935791,-0.2490234,0.7382813
-0.965332,-0.145752,0.7189941
-0.9526367,-0.1582031,0.6401367
-0.9443359,-0.2299805,0.5581055
-0.9509277,-0.3574219,0.501709
-0.9460449,-0.3413086,0.6000977
-0.9934082,-0.284668,0.7805176
-0.9838867,-0.197998,0.8620605
-0.9475098,-0.3481445,0.8308105
-0.8840332,-0.640625,0.8308105
-0.902832,-0.9050293,0.8972168
-0.9794922,-0.9387207,0.986084
-1.088379,-1.040283,0.7399902
-1.182861,-1.538086,0.6088867
-1.110352,-1.803467,0.4306641
-0.9082031,-1.729248,0.1782227
-0.6774902,-1.495605,-0.03198242
-0.4975586,-0.9411621,-0.104248
-0.3408203,-0.4555664,-0.1862793
-0.222168,-0.3720703,-0.5419922
-0.1555176,-0.2353516,-1.094238
-0.05859375,0.5114746,-1.649658
-0.03149414,1.726807,-1.984375
-0.3464355,1.999939,-1.984375
-0.9458008,1.999939,-1.984375
-1.800293,1.999939,-0.8977051
-1.984375,1.804688,1.269775
-1.984375,0.1894531,1.166016
-1.151367,0.2768555,-0.4018555
-0.3813477,0.536377,-1.057617
-0.2199707,0.486084,-0.7270508
-0.4599609,1.114746,-0.260498
-0.5354004,1.312988,-0.302002
-0.5895996,1.171631,-0.8259277
-0.5776367,0.9245605,-1.315674
-0.6315918,0.6171875,-1.08252
-0.8012695,0.6162109,-0.7104492
-1.003418,0.4399414,-0.5275879
-1.032959,0.1799316,-0.3129883
-0.8352051,0.07910156,-0.3430176
-0.7407227,-0.5256348,-0.4699707
-0.7514648,-1.049316,-0.4580078
-0.8222656,-0.9675293,0.07543945
-0.9072266,-0.6401367,0.4177246
-0.7780762,-0.6791992,0.1052246
-0.8500977,-0.9018555,-0.1362305
-0.8327637,-0.9626465,0.002441406
-0.8017578,-0.734375,0.2658691
-0.7895508,-0.4455566,0.3435059
-0.8647461,-0.5024414,0.2680664
-0.9104004,-0.5698242,0.1987305
-0.9633789,-0.6845703,0.3527832
-0.9743652,-0.4250488,0.3989258
-0.9470215,-0.2736816,0.4926758
-0.9611816,-0.2624512,0.5083008
-0.963623,-0.3095703,0.473877
-1.018799,-0.3830566,0.4853516
-1.008545,-0.213623,0.454834
-0.9689941,-0.08813477,0.4130859
-0.9399414,-0.1669922,0.5012207
-0.9550781,-0.1716309,0.5119629
-0.9421387,-0.1386719,0.3845215
-0.8295898,-0.0168457,0.262207
