x_acceleration,y_acceleration,z_acceleration
-0.3178711,-0.5119629,-0.2675781
-0.4072266,-0.7119141,-0.03588867
-0.3798828,-0.7983398,0.03295898
-0.3388672,-0.8664551,0.08496094
-0.307373,-0.9487305,0.03540039
-0.2836914,-0.9484863,-0.02246094
-0.3303223,-1.001221,0.04760742
-0.3925781,-1.112061,0.006591797
-0.4501953,-1.103027,-0.04174805
-0.5654297,-1.054199,-0.1206055
-0.671875,-0.984375,-0.105957
-0.7414551,-0.8359375,-0.08984375
-0.7753906,-0.8356934,-0.08251953
-0.7644043,-0.7766113,-0.140625
-0.7509766,-0.8076172,-0.1618652
-0.7341309,-0.7414551,-0.2150879
-0.7124023,-0.670166,-0.2089844
-0.6843262,-0.6550293,-0.1831055
-0.6501465,-0.6191406,-0.1865234
-0.6533203,-0.6586914,-0.173584
-0.6640625,-0.6530762,-0.2424316
-0.6474609,-0.6108398,-0.1992188
-0.6147461,-0.5700684,-0.208252
-0.628418,-0.5712891,-0.1813965
-0.6843262,-0.5756836,-0.1721191
-0.7106934,-0.5187988,-0.1950684
-0.7084961,-0.5864258,-0.3339844
-0.7028809,-0.5881348,-0.2807617
-0.7202148,-0.5803223,-0.1359863
-0.7446289,-0.4716797,-0.3288574
