x_acceleration,y_acceleration,z_acceleration
-0.9255371,-0.3549805,0.6535645
-0.8603516,-0.3635254,0.6625977
-0.8742676,-0.3674316,0.6921387
-0.8967285,-0.4645996,0.7443848
-0.9199219,-0.4958496,0.8481445
-0.9599609,-0.3793945,0.9116211
-1.03833,-0.3203125,0.8725586
-1.026855,-0.3588867,0.7058105
-0.9824219,-0.3024902,0.5661621
-0.9384766,-0.2565918,0.4089355
-0.9421387,-0.2119141,0.4125977
-0.9487305,-0.1872559,0.470459
-0.9196777,-0.03564453,0.40625
-0.9111328,0.0402832,0.3630371
-0.8896484,-0.03417969,0.2626953
-0.8842773,-0.1394043,0.2145996
-0.8818359,-0.130127,0.2338867
-0.8925781,-0.03710938,0.3139648
