x_acceleration,y_acceleration,z_acceleration
-1.184814,-0.8408203,0.7473145
-1.119385,-0.9128418,0.5224609
-1.114502,-1.076416,0.5959473
-1.240967,-1.098633,0.9650879
-1.187012,-0.3745117,0.9997559
-1.072266,-0.2744141,0.7626953
-0.8950195,-0.5061035,-0.05810547
-0.8171387,-0.5539551,-0.2641602
-0.9296875,-0.1010742,0.009765625
-0.7966309,0.8378906,0.001953125
-0.6914063,1.097656,-0.151123
-0.7062988,0.796875,-0.340332
-0.6962891,0.8154297,-0.6259766
-0.7514648,0.9455566,-0.6599121
-0.8066406,0.9042969,-0.4370117
-0.8742676,0.7897949,-0.2995605
-0.878418,0.7053223,-0.2546387
-0.8474121,0.6330566,-0.1960449
-0.7844238,0.5827637,-0.1691895
-0.7189941,0.4494629,-0.2460938
-0.6833496,0.3359375,-0.3547363
-0.6894531,0.2770996,-0.4348145
-0.6977539,0.3435059,-0.4472656
-0.7485352,0.3508301,-0.3037109
-0.802002,0.3479004,-0.284668
-0.8525391,0.3503418,-0.4343262
-0.9128418,0.3498535,-0.4985352
-0.9799805,0.4968262,-0.5310059
-1.052979,0.6135254,-0.4331055
-1.118408,0.8464355,-0.3530273
-1.063721,0.9277344,-0.2800293
-1.054688,0.8132324,-0.2265625
-0.9584961,0.8000488,-0.3830566
-0.895752,0.4870605,-0.4213867
-0.9042969,0.2446289,-0.2634277
-0.9602051,0.1486816,-0.0009765625
-0.9282227,0.3510742,0.1586914
-0.8686523,0.1679688,0.3457031
-0.8969727,-0.2509766,0.3901367
-0.8166504,-0.3251953,0.2802734
-0.7910156,-0.1760254,0.3022461
-0.7189941,-0.263916,0.5761719
-0.7092285,-0.4035645,0.746582
-0.6958008,-0.4797363,0.682373
-0.6228027,-0.5498047,0.7211914
-0.6662598,-0.5979004,0.8405762
-0.7775879,-0.6169434,0.9958496
-0.7893066,-0.5551758,0.9504395
-0.7922363,-0.5891113,0.8520508
-0.8017578,-0.5527344,0.8466797
-0.8847656,-0.5253906,0.9685059
-0.901123,-0.4882813,0.901123
-0.9094238,-0.487793,0.7446289
-0.9445801,-0.3847656,0.5732422
-0.9387207,-0.3146973,0.4992676
-0.9619141,-0.2539063,0.5219727
-0.9780273,-0.2163086,0.5078125
-0.9677734,-0.1337891,0.4262695
-0.9348145,-0.03271484,0.3200684
-0.9621582,-0.02807617,0.296875
-0.9863281,-0.0871582,0.300293
-0.9458008,-0.04833984,0.3168945
-0.9580078,-0.03198242,0.3920898
