x_acceleration,y_acceleration,z_acceleration
-0.7128906,0.08349609,0.2016602
-0.6784668,-0.1779785,0.3183594
-0.7287598,-0.3730469,0.2990723
-0.7700195,-0.5327148,0.387207
-0.8605957,-0.5415039,0.5874023
-0.8950195,-0.6384277,0.6455078
-0.9069824,-0.5783691,0.7241211
-0.8522949,-0.5788574,0.6743164
-0.8249512,-0.626709,0.6552734
-0.9372559,-0.6044922,0.7543945
-1.026855,-0.5664063,0.7912598
-1.073975,-0.5056152,0.7619629
-1.057617,-0.404541,0.6213379
-1.053955,-0.387207,0.5634766
-1.004395,-0.3918457,0.4570313
-0.9995117,-0.3640137,0.4089355
-1.050781,-0.2973633,0.548584
-0.9663086,-0.07202148,0.3798828
