x_acceleration,y_acceleration,z_acceleration
-0.4475098,-0.7329102,0.387207
-0.3833008,-0.7919922,0.4560547
-0.3527832,-1.040771,0.5119629
-0.4311523,-1.155029,0.5686035
-0.4604492,-1.115967,0.6140137
-0.4819336,-0.9660645,0.510498
-0.6115723,-0.9265137,0.4921875
-0.7568359,-0.9750977,0.4423828
-0.8161621,-1.151611,0.3601074
-0.9074707,-0.8381348,0.3818359
-0.9182129,-0.6782227,0.3430176
-0.9572754,-0.510498,0.3522949
-1.008301,-0.5144043,0.4030762
-1.009521,-0.5656738,0.2658691
-0.9985352,-0.5527344,0.2827148
-0.9528809,-0.4714355,0.2570801
-0.8916016,-0.4277344,0.3007813
-0.8664551,-0.3842773,0.3151855
-0.8945313,-0.3083496,-0.008300781
