x_acceleration,y_acceleration,z_acceleration
-1.041748,-0.7250977,0.7766113
-1.063232,-0.7043457,1.013184
-1.220703,-0.9587402,1.510498
-1.332031,-1.042725,1.848877
-1.324951,-0.7128906,1.579834
-1.253906,-0.3352051,1.272461
-1.101563,0.04125977,1.053223
-1.001709,0.03125,0.751709
-0.7441406,-0.6481934,0.3552246
-0.3415527,-0.2907715,-0.144043
0.02832031,0.5107422,-0.2705078
0.1755371,1.4729,0.1254883
0.3024902,1.999939,0.01953125
0.3105469,1.903809,-0.1704102
0.2011719,1.770264,-0.171875
0.09667969,1.653564,0.0703125
-0.104248,1.621338,0.5378418
-0.276123,1.436523,0.7214355
-0.4692383,1.228271,0.9182129
-0.4506836,1.032227,0.7368164
-0.3444824,0.9172363,0.5161133
-0.2268066,0.8317871,0.3625488
-0.1027832,0.8552246,0.2451172
-0.06054688,0.6760254,0.1096191
-0.2236328,0.8449707,0.260498
-0.4638672,0.9394531,0.6218262
-0.5478516,0.9924316,0.6716309
-0.6191406,0.708252,0.5810547
-0.7441406,0.623291,0.4584961
-0.9196777,0.4760742,0.6525879
-0.9470215,0.4777832,0.7570801
-0.8796387,0.5119629,1.054443
-0.9267578,0.2675781,1.027832
-0.9934082,-0.1762695,0.4902344
-0.9736328,-0.1696777,0.4350586
-0.9465332,0.1220703,0.7875977
-0.9226074,0.1269531,1.007568
-0.8039551,-0.1196289,0.7358398
-0.7893066,-0.3930664,0.4731445
-0.7963867,-0.3339844,0.4597168
-0.8623047,-0.1289063,0.7631836
-0.8964844,-0.01049805,0.9619141
-0.8620605,-0.1586914,0.8305664
-0.8486328,-0.427002,0.4975586
-0.8339844,-0.6003418,0.3061523
-0.9101563,-0.423584,0.4213867
-1.030029,-0.3083496,0.5871582
-1.105469,-0.3579102,0.6516113
-1.117676,-0.3339844,0.4985352
-1.089844,-0.3598633,0.4394531
-1.044922,-0.1918945,0.4523926
-1.026367,-0.1008301,0.4248047
-0.9846191,-0.1147461,0.4384766
