x_acceleration,y_acceleration,z_acceleration
-0.3574219,-0.8745117,-0.2202148
-0.3789063,-0.8503418,-0.1789551
-0.3991699,-1.035645,-0.1274414
-0.3566895,-0.9111328,-0.170166
-0.3544922,-0.984375,-0.1711426
-0.3815918,-0.9797363,-0.1281738
-0.4355469,-0.9326172,-0.07568359
-0.4978027,-0.8747559,-0.06396484
-0.5395508,-0.809082,-0.1586914
-0.5825195,-0.8552246,-0.2041016
-0.6557617,-0.8005371,-0.1796875
-0.7294922,-0.746582,-0.1484375
-0.7561035,-0.6782227,-0.1499023
-0.7148438,-0.6281738,-0.2185059
-0.7155762,-0.7209473,-0.2287598
-0.7055664,-0.7094727,-0.1850586
-0.7019043,-0.626709,-0.1887207
-0.6662598,-0.5390625,-0.3164063
-0.6357422,-0.595459,-0.3583984
