x_acceleration,y_acceleration,z_acceleration
-0.8989258,-0.3493652,0.5795898
-0.9677734,-0.302002,0.6140137
-1.032959,-0.2121582,0.6064453
-1.02124,-0.1733398,0.5961914
-0.980957,-0.1416016,0.5351563
-0.9675293,-0.1069336,0.5080566
-1.003174,-0.1665039,0.5068359
-0.9633789,-0.1271973,0.3752441
-0.9355469,-0.1000977,0.3459473
-0.9155273,-0.109375,0.3466797
-0.9272461,-0.0859375,0.3325195
-0.9233398,-0.03393555,0.3901367
-0.9165039,0.01708984,0.3933105
-0.8950195,-0.006103516,0.329834
-0.9191895,-0.05688477,0.2763672
-0.9458008,-0.09326172,0.2421875
-0.9958496,-0.05078125,0.3540039
-1.011475,-0.002929688,0.3330078
-1.015137,-0.0002441406,0.3618164
-0.9890137,-0.02636719,0.2990723
-0.9592285,-0.08618164,0.2758789
-0.9584961,-0.09790039,0.324707
-0.9487305,-0.05200195,0.3815918
-0.9772949,0.002685547,0.3588867
