x_acceleration,y_acceleration,z_acceleration
-1.010742,-0.1196289,0.5124512
-0.9833984,-0.08300781,0.4489746
-0.9763184,-0.1159668,0.4611816
-0.9772949,-0.1169434,0.3879395
-0.9555664,-0.09692383,0.3498535
-0.9414063,-0.03369141,0.3925781
-0.967041,0.01928711,0.4306641
-0.9379883,0.01049805,0.3774414
-0.9228516,-0.02905273,0.3249512
-0.9321289,-0.02172852,0.2905273
-0.9394531,0.01391602,0.3205566
-0.9436035,0.04785156,0.3364258
-0.9438477,0.03662109,0.3632813
-0.9396973,0.01953125,0.3117676
-0.9301758,-0.004394531,0.2851563
-0.9438477,0.02587891,0.3122559
-0.9597168,0.02514648,0.3186035
-0.956543,-0.001708984,0.3518066
-0.9680176,0.0009765625,0.3288574
-0.9694824,-0.01123047,0.3171387
-0.9382324,-0.003662109,0.3117676
-0.9411621,-0.01196289,0.3601074
-0.9560547,-0.0144043,0.3708496
