x_acceleration,y_acceleration,z_acceleration
-0.923584,-0.05493164,0.2436523
-0.8825684,-0.1391602,0.2924805
-0.8156738,-0.1374512,0.3786621
-0.8222656,-0.1472168,0.4802246
-0.8134766,-0.2097168,0.5144043
-0.7885742,-0.2766113,0.4624023
-0.7861328,-0.3178711,0.369873
-0.8481445,-0.3520508,0.3586426
-0.916748,-0.2678223,0.3959961
-0.9633789,-0.1640625,0.5087891
-1.000732,-0.06958008,0.5571289
-0.9904785,-0.08129883,0.4553223
-0.9614258,-0.204834,0.2834473
-0.9819336,-0.1911621,0.3205566
-0.9904785,-0.09033203,0.3942871
-0.9824219,-0.03173828,0.4069824
-0.9624023,-0.01538086,0.3720703
-0.9372559,-0.02197266,0.2578125
-0.9348145,-0.07543945,0.2702637
-0.9758301,-0.07299805,0.3081055
-0.9758301,-0.05786133,0.2602539
-0.9328613,-0.01708984,0.2822266
-0.9108887,0.007568359,0.2841797
-0.8891602,-0.02124023,0.3054199
-0.9223633,-0.05004883,0.3093262
