x_acceleration,y_acceleration,z_acceleration
0.02392578,-0.5930176,-0.4846191
-0.06665039,-0.7470703,-0.3474121
-0.1271973,-0.9907227,-0.2390137
-0.03540039,-0.9291992,-0.609375
0.06054688,-1.127197,-0.402832
-0.05786133,-1.066895,-0.276123
-0.1689453,-1.170166,-0.215332
-0.1635742,-1.150879,-0.2712402
-0.1540527,-1.171387,-0.3461914
-0.1738281,-1.091064,-0.3669434
-0.1899414,-0.9799805,-0.2519531
-0.276123,-0.9592285,-0.2888184
-0.3244629,-1.049072,-0.3427734
-0.3295898,-0.984375,-0.4396973
-0.3161621,-0.8640137,-0.2644043
-0.2348633,-0.723877,-0.3581543
-0.2514648,-0.7963867,-0.357666
-0.279541,-0.8129883,-0.5095215
