x_acceleration,y_acceleration,z_acceleration
-0.7333984,-0.1713867,0.6218262
-0.699707,-0.5388184,0.390625
-0.7270508,-0.3930664,0.5024414
-0.8481445,-0.2329102,0.8364258
-0.8869629,-0.07055664,0.8334961
-0.8618164,-0.09545898,0.7231445
-0.8654785,-0.1540527,0.5666504
-0.8999023,-0.2888184,0.5249023
-0.9187012,-0.08618164,0.5212402
-0.9074707,0.01220703,0.626709
-0.9052734,0.0703125,0.6306152
-0.8969727,-0.01171875,0.5930176
-0.8840332,-0.06665039,0.5095215
-0.8400879,-0.02954102,0.4311523
-0.8554688,0.01318359,0.4995117
-0.8796387,0.015625,0.5004883
-0.8796387,-0.003417969,0.4301758
-0.8625488,0.007080078,0.4226074
-0.890625,-0.002197266,0.4689941
-0.9140625,0.02978516,0.529541
-0.902832,0.1352539,0.4467773
