x_acceleration,y_acceleration,z_acceleration
-0.9589844,-0.140625,0.7404785
-1.080566,-0.3234863,0.9763184
-1.269775,-0.4904785,1.05249
-1.431885,-0.7509766,1.080811
-1.375977,-0.9804688,1.155518
-1.248047,-1.075928,1.196289
-1.053711,-0.9887695,1.328125
-0.9794922,-1.035156,1.450439
-0.7836914,-0.8911133,1.081787
-0.4741211,-0.8291016,0.458252
-0.1999512,-0.6933594,-0.05175781
-0.1206055,-0.6062012,-0.01269531
-0.005859375,0.0168457,-0.4204102
0.0402832,1.082764,-0.847168
-0.1313477,1.62207,-1.184082
-0.5632324,1.911377,-1.598633
-1.213379,1.999939,-1.984375
-1.984375,1.535889,-0.7724609
-1.984375,1.024658,1.999939
-1.984375,1.023682,1.323486
-1.484863,0.3359375,-0.4040527
-0.9020996,0.02587891,-0.9309082
-0.7949219,0.2885742,-0.6418457
-0.824707,0.8527832,-0.4455566
-0.8095703,1.267578,-0.4123535
-0.8662109,1.318359,-0.2263184
-0.8620605,1.174316,-0.359375
-0.7961426,0.902832,-0.2480469
-0.6711426,0.5285645,-0.2722168
-0.6535645,0.2741699,-0.006347656
-0.5883789,-0.3674316,-0.0480957
-0.5480957,-0.8442383,-0.08374023
-0.550293,-0.8991699,0.05517578
-0.7009277,-0.4494629,0.4311523
-0.8781738,-0.6135254,0.7385254
-0.9111328,-0.6276855,0.4833984
-0.8212891,-0.8347168,0.3283691
-0.8776855,-0.7487793,0.4309082
-0.9743652,-0.4831543,0.6550293
-1.017334,-0.3051758,0.8308105
-1.081055,-0.166748,0.8928223
-1.065674,-0.2597656,0.6708984
-1.036865,-0.3359375,0.5463867
-1.043457,-0.3503418,0.6015625
-1.015625,-0.2365723,0.6762695
-1.019531,-0.1604004,0.6794434
-0.9963379,-0.1621094,0.6162109
-1.000244,-0.1882324,0.5197754
-0.9953613,-0.2165527,0.4797363
-0.984375,-0.1743164,0.4360352
-0.9794922,-0.1335449,0.3950195
-0.9604492,-0.1088867,0.3598633
-0.9750977,-0.1601563,0.4467773
-0.9746094,-0.1584473,0.4445801
-0.967041,-0.09106445,0.3837891
-0.9260254,-0.02661133,0.3305664
-0.9348145,-0.06494141,0.2265625
