x_acceleration,y_acceleration,z_acceleration
-0.9460449,-0.2519531,0.5249023
-0.9353027,-0.177002,0.6210938
-0.8647461,-0.09130859,0.597168
-0.8496094,-0.2487793,0.6071777
-0.7993164,-0.3029785,0.4931641
-0.7905273,-0.2307129,0.5864258
-0.8459473,-0.1538086,0.6938477
-0.8747559,-0.07104492,0.6240234
-0.8928223,-0.1269531,0.5605469
-0.8952637,-0.159668,0.4445801
-0.9384766,-0.2541504,0.442627
-0.9760742,-0.138916,0.3942871
-0.9855957,0.009277344,0.4733887
-0.9716797,0.05566406,0.4907227
-0.9433594,0.01904297,0.4685059
-0.9560547,-0.0793457,0.375
-0.9450684,-0.0534668,0.3371582
-0.9333496,-0.02246094,0.302002
-0.8942871,-0.04760742,0.2414551
-0.8771973,-0.1008301,0.3081055
-0.9326172,-0.03930664,0.4152832
-0.9443359,0.03027344,0.4460449
-0.9494629,0.01660156,0.4350586
-0.8925781,0.08374023,0.2419434
-0.9272461,-0.08227539,0.3015137
