x_acceleration,y_acceleration,z_acceleration
-0.6762695,0.4023438,-0.189209
-0.8051758,0.1552734,0.1923828
-0.8088379,-0.05249023,0.2106934
-0.6779785,-0.07421875,0.1616211
-0.623291,-0.1118164,0.317627
-0.612793,-0.361084,0.503418
-0.6716309,-0.4279785,0.4931641
-0.7404785,-0.359375,0.5319824
-0.828125,-0.2155762,0.6936035
-0.9177246,-0.3115234,0.7011719
-0.9504395,-0.4318848,0.5710449
-0.9746094,-0.4189453,0.4157715
-1.02124,-0.4484863,0.3217773
-1.077148,-0.395752,0.4890137
-1.102051,-0.1445313,0.5576172
-1.146973,0.06933594,0.6188965
-1.148193,0.07275391,0.5927734
-1.128174,0.009521484,0.498291
-1.096191,-0.0078125,0.3803711
-1.043457,-0.07128906,0.3813477
-1.000244,0.01489258,0.3305664
-0.9465332,0.01879883,0.3540039
-0.9250488,0.0925293,0.3115234
-0.9233398,0.1171875,0.3618164
-0.9331055,0.09375,0.3947754
-0.9208984,0.1184082,0.3217773
-0.9396973,0.08129883,0.3125
-0.9492188,0.09423828,0.2714844
-0.9897461,0.09960938,0.260498
-0.9897461,0.08081055,0.314209
