x_acceleration,y_acceleration,z_acceleration
-0.3776855,-1.096924,0.05981445
-0.5402832,-0.9519043,0.1948242
-0.6577148,-0.8818359,0.08789063
-0.7810059,-0.8547363,0.1088867
-0.8164063,-0.8171387,0.1154785
-0.8461914,-0.6523438,0.1989746
-0.8566895,-0.5632324,0.2385254
-0.8632813,-0.519043,0.3066406
-0.8483887,-0.5007324,0.3005371
-0.871582,-0.5546875,0.2819824
-0.9008789,-0.5219727,0.2937012
-0.8649902,-0.4616699,0.2810059
-0.8427734,-0.4282227,0.2937012
-0.8427734,-0.4213867,0.347168
-0.859375,-0.5004883,0.3581543
-0.8632813,-0.4711914,0.3127441
-0.847168,-0.4558105,0.3024902
-0.8500977,-0.4250488,0.2495117
-0.8999023,-0.4777832,0.3088379
-0.907959,-0.4406738,0.3078613
