x_acceleration,y_acceleration,z_acceleration
-0.6774902,-0.7043457,0.5942383
-0.8151855,-0.5930176,0.6716309
-0.9602051,-0.6113281,0.6340332
-1.027344,-0.6704102,0.5332031
-1.062988,-0.6760254,0.4663086
-1.021729,-0.5959473,0.4599609
-0.9980469,-0.5339355,0.4916992
-0.9611816,-0.4211426,0.4853516
-0.9230957,-0.3806152,0.4042969
-0.8793945,-0.3952637,0.328125
-0.8713379,-0.4333496,0.265625
-0.9404297,-0.3823242,0.2524414
-1.002441,-0.3532715,0.2705078
-0.9790039,-0.2548828,0.1906738
