x_acceleration,y_acceleration,z_acceleration
-0.9645996,-0.2883301,0.6208496
-1.026611,-0.293457,0.6188965
-1.054688,-0.347168,0.560791
-1.026611,-0.2368164,0.5266113
-1.037109,-0.1435547,0.6223145
-1.080566,-0.1118164,0.6425781
-1.068359,-0.1401367,0.4970703
-1.000732,-0.1569824,0.3452148
-0.9584961,-0.1606445,0.3125
-0.9411621,-0.111084,0.3320313
-0.9343262,-0.07641602,0.3417969
-0.9326172,-0.08349609,0.3706055
-0.901123,-0.06298828,0.21875
-0.9177246,-0.1503906,0.2922363
-0.9338379,-0.1652832,0.3239746
-0.8408203,-0.009765625,0.1879883
-0.9372559,-0.003662109,0.3295898
