x_acceleration,y_acceleration,z_acceleration
-0.7807617,0.3212891,0.03881836
-0.8935547,0.3981934,0.4003906
-0.9650879,0.1721191,0.4255371
-0.871582,-0.08398438,0.3811035
-0.7397461,-0.267334,0.5285645
-0.6740723,-0.265625,0.5441895
-0.7175293,-0.3679199,0.736084
-0.765625,-0.3769531,0.8022461
-0.8220215,-0.2080078,0.5678711
-0.9125977,-0.1181641,0.5646973
-0.8759766,-0.2368164,0.5024414
-0.8679199,-0.1359863,0.3615723
-0.9338379,-0.1882324,0.5180664
-0.9309082,0.1726074,0.4147949
-0.9772949,0.2631836,0.4177246
-1.005371,0.06860352,0.3125
-0.9741211,-0.1804199,0.3024902
