x_acceleration,y_acceleration,z_acceleration
-0.8041992,-0.1179199,-0.107666
-0.8359375,-0.3405762,0.2229004
-0.8164063,-0.2443848,0.3266602
-0.8483887,-0.2858887,0.4643555
-0.8691406,-0.5629883,0.5615234
-0.8535156,-0.6491699,0.501709
-0.8093262,-0.5537109,0.3933105
-0.8051758,-0.4274902,0.4030762
-0.8691406,-0.4416504,0.5773926
-0.9311523,-0.2800293,0.619873
-0.9467773,-0.2321777,0.6086426
-0.9938965,-0.1469727,0.5307617
-1.03418,-0.1604004,0.5441895
-1.062012,-0.1711426,0.5583496
-1.05127,-0.1318359,0.543457
-1.007324,-0.07543945,0.4990234
-0.979248,0.00390625,0.4541016
-0.9824219,-0.05737305,0.5092773
-1.01001,-0.1928711,0.4936523
-0.963623,-0.1479492,0.3312988
-0.9423828,-0.1352539,0.2641602
-0.9533691,-0.09033203,0.3132324
-0.9538574,-0.0546875,0.2800293
