x_acceleration,y_acceleration,z_acceleration
-0.267334,-0.6447754,0.1459961
-0.2329102,-0.6672363,0.315918
-0.2192383,-0.5776367,0.4067383
-0.2163086,-0.6894531,0.5541992
-0.2670898,-0.6604004,0.732666
-0.3376465,-0.8071289,0.7553711
-0.3676758,-1.037354,0.6435547
-0.3535156,-1.115479,0.4753418
-0.4750977,-0.9453125,0.5859375
-0.7109375,-0.8244629,0.7763672
-0.7849121,-0.6870117,0.7253418
-0.7736816,-0.6057129,0.6564941
-0.8220215,-0.7180176,0.5483398
-0.8916016,-0.6801758,0.595459
-0.9003906,-0.5556641,0.6025391
-0.8950195,-0.484375,0.6560059
-0.8666992,-0.4487305,0.5769043
-0.8012695,-0.5212402,0.432373
-0.8059082,-0.5947266,0.4001465
-0.8632813,-0.6132813,0.4077148
-0.869873,-0.5522461,0.4609375
-0.8498535,-0.4790039,0.4384766
-0.8225098,-0.5031738,0.3632813
-0.8151855,-0.5385742,0.3010254
-0.8574219,-0.6030273,0.3171387
-0.8828125,-0.4902344,0.3820801
-0.8674316,-0.4914551,0.3601074
-0.8447266,-0.487793,0.3261719
-0.8532715,-0.4846191,0.3198242
-0.8637695,-0.4890137,0.362793
