x_acceleration,y_acceleration,z_acceleration
-0.3652344,0.9956055,-0.5227051
-0.4362793,0.8527832,-0.7575684
-0.4943848,0.6430664,-0.6086426
-0.5131836,0.4890137,-0.2324219
-0.5412598,0.4387207,-0.0234375
-0.6286621,-0.01147461,-0.04003906
-0.7229004,-0.4228516,-0.06274414
-0.869873,-0.3937988,0.06103516
-1.087891,-0.2912598,0.3530273
-1.129395,-0.2785645,0.3757324
-1.156738,-0.5124512,0.3652344
-1.145996,-0.5004883,0.2822266
-1.153564,-0.4904785,0.3703613
-1.179199,-0.4089355,0.4484863
-1.178711,-0.3308105,0.5585938
-1.154053,-0.2705078,0.5891113
-1.130371,-0.2695313,0.5734863
-1.131104,-0.2805176,0.53125
-1.110352,-0.2841797,0.5092773
-1.058105,-0.2060547,0.4592285
-0.996582,-0.142334,0.4069824
-1.018311,-0.1303711,0.4245605
-1.031006,-0.06958008,0.3867188
-1.078125,-0.03710938,0.348877
-1.029053,0.2045898,0.1308594
-1.093018,0.2211914,0.1848145
