x_acceleration,y_acceleration,z_acceleration
-0.4160156,0.5009766,-0.3554688
-0.4956055,0.2880859,-0.01855469
-0.5432129,0.01123047,0.1113281
-0.6135254,-0.3398438,0.1384277
-0.7993164,-0.5981445,0.3312988
-0.9760742,-0.3845215,0.4123535
-1.116211,-0.2932129,0.7150879
-1.113525,-0.3898926,0.8444824
-0.9741211,-0.4506836,0.6506348
-0.9133301,-0.527832,0.6162109
-0.9521484,-0.6271973,0.6811523
-1.005859,-0.6279297,0.7333984
-1.058594,-0.3354492,0.7358398
-1.080322,-0.1323242,0.7766113
-1.083008,-0.1621094,0.7414551
-1.085205,-0.3059082,0.5869141
-1.079834,-0.2993164,0.3837891
-1.064453,-0.2387695,0.3901367
-1.042725,-0.02563477,0.3762207
-1.033936,0.1257324,0.4382324
-0.9814453,0.1242676,0.3867188
