x_acceleration,y_acceleration,z_acceleration
-0.8928223,-0.6960449,0.692627
-0.9299316,-0.6586914,0.7097168
-0.885498,-0.8110352,0.576416
-0.8544922,-1.138916,0.4956055
-0.8757324,-1.279053,0.7424316
-1.000977,-1.122803,1.084717
-1.060791,-1.150146,1.100342
-1.108398,-1.419434,1.139648
-1.130127,-1.524902,0.9938965
-1.021729,-1.390381,0.7421875
-0.8391113,-0.9130859,0.6330566
-0.592041,-0.5402832,0.375
-0.3059082,-0.6323242,-0.5742188
-0.2021484,0.2043457,-0.7714844
-0.157959,0.9616699,-0.9680176
-0.1464844,1.401611,-1.583008
-0.2932129,1.326172,-1.984375
-0.7216797,0.8566895,-1.376221
-1.131592,0.9279785,-0.2844238
-1.162109,0.3828125,-0.651123
-0.7072754,-0.3586426,-1.592285
-0.01000977,-0.5124512,-1.597656
0.4155273,0.1689453,-0.7697754
0.5964355,0.4931641,-0.4272461
0.4968262,0.4487305,-0.5163574
0.001220703,0.04907227,-0.8051758
-0.4152832,-0.2348633,-1.072998
-0.6679688,0.1132813,-0.9748535
-0.8137207,0.5646973,-0.670166
-0.8093262,0.8491211,-0.8115234
-0.8601074,0.8122559,-1.007813
-1.037109,0.6679688,-0.9924316
-1.031006,0.5151367,-1.303711
-0.7456055,0.1518555,-0.8498535
-0.6762695,0.1152344,0.02783203
-0.6123047,-0.1376953,0.371582
-0.5771484,-0.4672852,0.2695313
-0.6130371,-0.5688477,0.4118652
-0.5107422,-0.9377441,0.3867188
-0.4238281,-1.074463,0.3532715
-0.4560547,-1.210693,0.4453125
-0.7043457,-1.177979,0.6220703
-0.8300781,-0.9255371,0.7583008
-0.9306641,-0.6757813,0.9086914
-0.9833984,-0.6318359,0.8718262
-1.027832,-0.6931152,0.6772461
-1.031494,-0.7416992,0.5722656
-0.9841309,-0.6237793,0.5722656
-0.9433594,-0.4831543,0.6455078
-0.9311523,-0.395752,0.6816406
-0.9389648,-0.3666992,0.6401367
-0.9233398,-0.3847656,0.5646973
-0.9001465,-0.3376465,0.517334
-0.8776855,-0.3442383,0.4934082
-0.8986816,-0.2868652,0.532959
-0.9160156,-0.2246094,0.5898438
-0.9108887,-0.2416992,0.5454102
-0.9138184,-0.3068848,0.4868164
-0.8830566,-0.3234863,0.4118652
-0.8654785,-0.2966309,0.4255371
-0.8959961,-0.300293,0.5324707
-0.921875,-0.2893066,0.536377
-0.9294434,-0.2521973,0.484375
-0.890625,-0.2722168,0.4431152
-0.8972168,-0.3015137,0.5083008
-0.8999023,-0.2617188,0.5498047
-0.8964844,-0.2507324,0.5334473
-0.888916,-0.1674805,0.4916992
-0.8154297,-0.09692383,0.3376465
