x_acceleration,y_acceleration,z_acceleration
-1.046143,-0.03588867,0.5771484
-1.019287,0.009277344,0.5812988
-0.9946289,0.03759766,0.5454102
-0.9431152,0.0378418,0.4372559
-0.9108887,0.02001953,0.3242188
-0.8969727,0.03198242,0.3427734
-0.9091797,0.09179688,0.4138184
-0.9345703,0.1645508,0.4355469
-0.9223633,0.135498,0.3840332
-0.9072266,0.04882813,0.2844238
-0.8974609,0.01000977,0.2739258
-0.9116211,0.02783203,0.3571777
-0.9360352,0.121582,0.3850098
-0.9516602,0.1137695,0.5004883
-0.9560547,0.06958008,0.3696289
-0.8911133,0.08374023,0.3278809
