x_acceleration,y_acceleration,z_acceleration
-0.5576172,-0.4858398,0.3232422
-0.4897461,-0.7021484,0.2382813
-0.4086914,-0.8608398,0.1123047
-0.4055176,-0.8632813,0.2980957
-0.4145508,-0.901123,0.4846191
-0.4812012,-0.8227539,0.5270996
-0.5407715,-1.003174,0.5026855
-0.5981445,-0.9025879,0.3205566
-0.6826172,-0.8691406,0.340332
-0.7397461,-0.8337402,0.3522949
-0.8640137,-0.8032227,0.3928223
-0.9350586,-0.7600098,0.3522949
-0.9394531,-0.7319336,0.2675781
-0.9504395,-0.722168,0.3059082
-1.011963,-0.7233887,0.4450684
-1.003906,-0.5268555,0.4016113
-1.002686,-0.503418,0.4152832
