x_acceleration,y_acceleration,z_acceleration
-0.7856445,0.824707,-0.2060547
-0.7373047,0.9274902,-0.1027832
-0.661377,0.651123,-0.1369629
-0.5734863,0.1220703,-0.1130371
-0.4355469,-0.1655273,-0.2524414
-0.3532715,-0.3144531,-0.1584473
-0.4614258,-0.4111328,0.1520996
-0.7053223,-0.5058594,0.465332
-0.9606934,-0.4245605,0.5402832
-1.094727,-0.3564453,0.4987793
-1.167236,-0.189209,0.5441895
-1.085205,-0.1069336,0.4462891
-1.004639,-0.1396484,0.331543
-1.015625,-0.1455078,0.4499512
-1.151611,-0.1611328,0.5981445
-1.12085,0.123291,0.5803223
-1.127197,0.2055664,0.4519043
