x_acceleration,y_acceleration,z_acceleration
-0.8825684,-0.5424805,0.2941895
-0.8168945,-0.8574219,0.2382813
-0.7873535,-0.8713379,0.3674316
-0.7944336,-0.6691895,0.4003906
-0.8581543,-0.6611328,0.4030762
-0.9042969,-0.6882324,0.2993164
-0.9631348,-0.6120605,0.2912598
-0.963623,-0.595459,0.3156738
-0.9306641,-0.5080566,0.3190918
-0.958252,-0.3608398,0.4382324
-1.025146,-0.3310547,0.4829102
-1.04248,-0.2646484,0.4331055
-1.008789,-0.2526855,0.3898926
-0.998291,-0.2480469,0.3649902
-0.9482422,-0.1899414,0.3635254
-0.9182129,-0.2075195,0.4245605
-0.890625,-0.1630859,0.4206543
-0.8381348,-0.1276855,0.3359375
-0.8007813,-0.1699219,0.3432617
-0.7971191,-0.1904297,0.2888184
-0.8381348,-0.1865234,0.3059082
-0.8803711,-0.1845703,0.3273926
-0.9152832,-0.1506348,0.3430176
-0.9162598,-0.1018066,0.2990723
-0.9338379,-0.144043,0.3032227
-0.8713379,-0.1652832,0.4274902
