x_acceleration,y_acceleration,z_acceleration
-0.7810059,-0.5612793,-0.746582
-0.671875,-0.5593262,-0.6994629
-0.7436523,-0.3918457,-0.02709961
-0.857666,-0.3291016,0.4016113
-0.8789063,-0.4980469,0.2319336
-0.8901367,-0.7995605,0.1005859
-0.9106445,-0.934082,0.1181641
-0.9274902,-0.5859375,0.3371582
-1.017578,-0.3198242,0.7236328
-1.092773,-0.223877,0.8974609
-1.106201,-0.2731934,0.8352051
-1.08667,-0.3774414,0.642334
-1.001709,-0.3830566,0.4343262
-0.9150391,-0.4055176,0.2050781
-0.8796387,-0.3579102,0.2055664
-0.8886719,-0.1560059,0.3222656
-0.949707,-0.03295898,0.505127
-0.9685059,0.01489258,0.4824219
-0.9394531,-0.0402832,0.3876953
-0.8942871,-0.078125,0.2458496
-0.8955078,-0.07495117,0.263916
-0.8693848,0.02636719,0.2583008
