x_acceleration,y_acceleration,z_acceleration
-0.7351074,0.8015137,-0.394043
-0.7304688,0.5244141,-0.2897949
-0.7473145,0.3583984,-0.2019043
-0.7478027,0.1826172,0.005371094
-0.8276367,-0.08422852,0.4150391
-1.026855,-0.1638184,0.6691895
-1.22168,-0.3061523,0.5671387
-1.23877,-0.355957,0.4128418
-1.150635,-0.2592773,0.6743164
-1.048096,-0.1157227,0.8435059
-0.9035645,-0.3413086,0.7260742
-0.8000488,-0.4597168,0.6455078
-0.7819824,-0.3996582,0.6618652
-0.7492676,-0.3518066,0.666748
-0.748291,-0.2907715,0.6811523
-0.7299805,-0.293457,0.5512695
-0.7456055,-0.2783203,0.512207
-0.8078613,-0.2028809,0.626709
-0.9116211,-0.1152344,0.720459
-0.9353027,-0.09033203,0.6464844
-0.9128418,-0.09594727,0.4902344
-0.9057617,-0.07543945,0.3603516
-0.9326172,-0.1066895,0.3452148
-0.9724121,-0.1137695,0.3950195
-0.9885254,-0.05151367,0.4401855
-0.9760742,0.02172852,0.4492188
-0.934082,-0.001464844,0.3874512
-0.9116211,-0.07983398,0.3156738
-0.9260254,-0.1364746,0.291748
-0.9230957,-0.09350586,0.2626953
-0.9377441,-0.005859375,0.3833008
