x_acceleration,y_acceleration,z_acceleration
-0.9187012,0.001708984,0.3369141
-0.9504395,-0.01342773,0.3806152
-0.967041,0.02832031,0.4025879
-0.9655762,-0.01025391,0.427002
-0.965332,0.01733398,0.4003906
-0.9624023,0.0,0.421875
-0.9541016,-0.06860352,0.527832
-0.9941406,-0.1848145,0.8986816
-1.05957,-0.4631348,1.19873
-1.169434,-0.6486816,1.218018
-1.420654,-0.9482422,1.467529
-1.637939,-0.8688965,1.61377
-1.59668,-0.6472168,1.618896
-1.463867,-0.529541,1.354248
-1.029541,-0.6367188,1.057373
-0.6184082,-0.4912109,0.9023438
-0.3500977,-0.2827148,0.7011719
-0.1665039,-0.1169434,0.6157227
-0.02832031,0.08056641,0.02880859
0.03393555,0.1342773,-0.5168457
-0.09082031,0.2631836,-0.7346191
-0.2473145,0.3537598,-0.7592773
-0.2817383,0.7475586,-0.9702148
-0.3967285,1.391846,-1.256592
-0.7282715,1.634033,-1.382324
-1.260742,1.322754,-0.8486328
-1.568604,0.8618164,0.2883301
-1.432861,1.278564,0.8347168
-1.256836,1.178711,0.6413574
-1.129395,0.6442871,-0.2473145
-1.015137,0.3671875,-0.7773438
-0.935791,0.5083008,-0.7751465
-0.8654785,0.7770996,-0.470459
-0.8989258,0.9836426,-0.4343262
-0.9294434,0.869873,-0.5429688
-0.9597168,0.9143066,-0.2583008
-0.9013672,0.8579102,-0.05712891
-0.9160156,0.5332031,-0.1696777
-0.840332,0.09301758,-0.2158203
-0.7548828,-0.05249023,-0.1103516
-0.7185059,-0.03320313,0.04760742
-0.734375,-0.3977051,0.4189453
-0.8569336,-0.4768066,0.329834
-0.824707,-0.4941406,0.3540039
-0.7797852,-0.3166504,0.5217285
-0.7880859,-0.4382324,0.9018555
-0.7993164,-0.734375,0.9440918
-0.8867188,-0.9091797,0.6999512
-1.02002,-0.5788574,0.8962402
-1.126465,-0.2473145,1.179932
-1.128174,-0.2358398,1.192627
-0.9904785,-0.2824707,0.7773438
-0.8969727,-0.4250488,0.515625
-0.8723145,-0.3188477,0.4799805
-0.8913574,-0.1447754,0.6264648
-0.8920898,-0.05712891,0.6174316
-0.8718262,-0.0559082,0.4677734
-0.8686523,-0.1220703,0.3823242
-0.8959961,-0.08105469,0.4611816
-0.927002,0.007080078,0.5061035
-0.9438477,0.03173828,0.4123535
-0.9470215,-0.07958984,0.2905273
-0.9846191,-0.1154785,0.3483887
