time,ax,ay,az,atotal,soco
0.006047964096069336,-0.13,-0.16,-0.57,0.6,0
0.013290166854858398,-0.12,-0.19,-0.29,0.36,0
0.023025035858154297,0.1,-0.06,-0.24,0.26,0
0.03370308876037598,0.09,0.02,-0.06,0.11,0
0.04252004623413086,-0.02,0.01,0.2,0.2,0
0.05448198318481445,-0.1,0.0,0.36,0.37,0
0.06294894218444824,-0.09,0.02,0.37,0.38,0
0.07240986824035645,-0.01,0.06,0.3,0.3,0
0.08335995674133301,0.07,0.08,0.1,0.14,0
0.09222006797790527,0.1,0.03,-0.22,0.24,0
0.10419201850891113,0.03,-0.06,-0.38,0.38,0
0.11267805099487305,-0.04,-0.09,-0.41,0.42,0
0.12274408340454102,-0.09,-0.07,-0.25,0.27,0
0.13379502296447754,-0.08,-0.03,-0.03,0.09,0
0.14247393608093262,-0.07,-0.05,0.09,0.12,0
0.1537160873413086,-0.07,-0.12,0.19,0.23,0
0.16229987144470215,0.01,-0.11,0.17,0.2,0
0.17237210273742676,0.04,-0.06,0.15,0.16,0
0.18370413780212402,0.09,0.02,0.07,0.11,0
0.19202399253845215,0.1,0.04,-0.05,0.11,0
0.2032458782196045,0.09,0.01,-0.13,0.15,0
0.21180415153503418,0.03,-0.02,-0.12,0.12,0
0.22165894508361816,0.0,-0.03,-0.1,0.1,0
0.233353853225708,-0.03,-0.01,-0.07,0.07,0
0.24168610572814941,-0.06,0.01,0.07,0.09,0
0.2530958652496338,0.05,-0.03,0.08,0.09,0
0.26145100593566895,0.06,-0.06,0.03,0.09,0
0.27122998237609863,0.02,-0.05,0.04,0.06,0
0.28279709815979004,0.0,-0.01,-0.01,0.01,0
0.29087400436401367,-0.03,-0.02,-0.03,0.04,0
0.30260396003723145,-0.09,-0.02,-0.03,0.09,0
0.3113670349121094,-0.15,0.02,-0.09,0.17,0
0.3205389976501465,-0.06,0.02,-0.23,0.23,0
0.33281493186950684,0.11,-0.05,-0.22,0.25,0
0.3410940170288086,0.32,-0.11,-0.08,0.34,0
0.35250020027160645,0.49,-0.07,0.15,0.51,0
0.36089205741882324,0.93,0.02,0.79,1.22,0
0.370851993560791,0.82,0.27,0.71,1.11,0
0.38239097595214844,0.39,0.41,0.29,0.63,0
0.39052891731262207,0.23,0.31,0.12,0.4,0
0.40214085578918457,0.05,0.2,0.08,0.22,0
0.4105799198150635,-0.06,0.08,0.09,0.13,0
0.4200320243835449,-0.1,-0.02,0.0,0.1,0
0.4321160316467285,-0.03,-0.06,-0.25,0.25,0
0.44022297859191895,0.09,-0.07,-0.42,0.43,0
0.45180606842041016,0.18,-0.1,-0.48,0.52,0
0.46027112007141113,0.17,-0.11,-0.45,0.49,0
0.47008299827575684,0.05,-0.31,-0.54,0.62,0
0.4813649654388428,0.09,-0.37,-0.6,0.71,0
0.4900779724121094,0.04,-0.31,-0.48,0.57,0
0.5015089511871338,0.07,-0.07,0.0,0.09,0
0.5099680423736572,0.98,0.28,0.45,1.11,0
0.5192739963531494,1.45,0.53,0.38,1.58,0
0.5307199954986572,0.92,0.26,0.69,1.17,0
0.5395650863647461,0.75,-0.08,1.27,1.47,0
0.55082106590271,0.4,-0.04,1.27,1.33,0
0.559643030166626,0.0,0.21,1.15,1.16,0
0.5688960552215576,-0.41,0.43,1.18,1.32,0
0.581017017364502,-0.71,0.54,0.86,1.23,0
0.5891249179840088,-0.86,0.38,0.27,0.97,0
0.6003749370574951,-0.86,0.08,-0.02,0.86,0
0.609234094619751,-0.72,-0.04,-0.14,0.73,0
0.618494987487793,-0.5,0.05,0.12,0.51,0
0.6297290325164795,-0.32,0.3,0.21,0.48,0
0.639113187789917,-0.48,0.13,-0.58,0.76,0
0.6504380702972412,-0.61,-0.4,-1.04,1.27,0
0.6590430736541748,-0.55,-0.57,-1.14,1.38,0
0.6687881946563721,-0.37,-0.36,-1.24,1.34,0
0.6799681186676025,-0.2,-0.22,-0.89,0.93,0
0.688636064529419,-0.07,-0.1,-0.35,0.37,0
0.6998951435089111,0.15,-0.02,-0.35,0.38,0
0.7083299160003662,0.35,-0.08,-0.46,0.58,0
0.7179481983184814,0.44,-0.12,-0.47,0.65,0
0.7300169467926025,0.39,-0.17,-0.36,0.55,0
0.7380800247192383,0.42,-0.32,-0.36,0.63,0
0.7498190402984619,0.19,-0.5,-0.3,0.61,0
0.7581360340118408,-0.29,-0.71,0.19,0.79,0
0.7679610252380371,-0.23,-0.62,0.41,0.77,0
0.7795970439910889,-0.2,-0.11,0.07,0.23,0
0.7879409790039062,-0.23,0.22,-0.13,0.34,0
0.7993950843811035,-0.28,0.3,-0.16,0.44,0
0.80777907371521,-0.41,0.27,-0.13,0.5,0
0.8176991939544678,-0.5,0.13,-0.14,0.53,0
0.8289480209350586,-0.59,-0.01,-0.17,0.61,0
0.8375561237335205,-0.7,0.11,-0.36,0.79,0
0.8491489887237549,-0.71,0.43,-0.41,0.92,0
0.8574011325836182,-0.75,0.61,-0.22,0.99,0
0.8669850826263428,-0.77,0.6,0.02,0.97,0
0.8791611194610596,-0.72,0.44,0.36,0.91,0
0.8873279094696045,-0.67,0.08,1.27,1.43,0
0.8988339900970459,-0.26,-0.31,2.38,2.41,0
0.9068539142608643,0.35,-0.39,2.38,2.43,0
0.9172799587249756,0.82,-0.3,1.82,2.01,0
0.9282791614532471,1.09,-0.07,1.52,1.87,0
0.9369339942932129,1.35,0.12,1.3,1.87,0
0.9483611583709717,1.36,0.11,0.93,1.65,0
0.9567601680755615,1.21,0.02,0.63,1.36,0
0.966850996017456,1.09,-0.02,-0.16,1.1,0
0.9783799648284912,1.04,-0.18,-1.29,1.66,0
0.9865858554840088,0.87,-0.74,-2.13,2.41,0
0.9981138706207275,0.55,-1.29,-2.19,2.6,0
1.0063409805297852,0.45,-1.32,-1.07,1.75,0
1.0164830684661865,0.95,-0.86,0.37,1.33,0
1.0279109477996826,0.64,0.55,1.07,1.36,0
1.036221981048584,1.37,0.93,0.66,1.78,0
1.047677993774414,1.49,0.54,0.08,1.58,0
1.0560691356658936,0.75,0.31,0.8,1.13,0
1.0655601024627686,0.27,0.7,1.02,1.26,0
1.0765340328216553,0.46,0.69,0.78,1.13,0
1.085982084274292,0.76,0.49,0.48,1.02,0
1.0973951816558838,0.86,0.46,0.1,0.98,0
1.1057260036468506,0.95,0.41,0.04,1.03,0
1.1152050495147705,1.12,0.07,0.19,1.13,0
1.126965045928955,1.33,-0.35,0.3,1.4,0
1.1356730461120605,1.62,-0.49,0.17,1.7,0
1.1469881534576416,1.59,-0.59,-0.17,1.7,0
1.1554811000823975,1.26,-0.86,-0.45,1.59,0
1.1653800010681152,0.8,-1.24,-0.39,1.52,0
1.176872968673706,0.29,-1.23,-0.12,1.26,0
1.1852471828460693,0.03,-1.08,0.01,1.08,0
1.1967129707336426,0.05,-1.14,-0.08,1.14,0
1.205024003982544,0.36,-1.26,-0.03,1.31,0
1.215054988861084,0.83,-1.18,0.13,1.44,0
1.2264721393585205,0.91,-1.17,-0.03,1.48,0
1.2348730564117432,0.67,-1.25,-0.26,1.44,0
1.2462270259857178,0.35,-1.23,0.02,1.27,0
1.254701852798462,0.22,-1.19,0.74,1.41,0
1.264362096786499,0.28,-1.08,1.19,1.63,0
1.275635004043579,0.17,-0.88,1.08,1.4,0
1.2846460342407227,-0.11,-0.62,0.69,0.93,0
1.2960000038146973,-0.16,-0.38,0.58,0.71,0
1.304328203201294,0.26,-0.33,0.99,1.07,0
1.3138821125030518,0.74,-0.37,1.21,1.46,0
1.324700117111206,1.04,-0.38,0.91,1.43,0
1.3337349891662598,1.34,-0.44,0.5,1.49,0
1.3455970287322998,1.44,-0.35,0.41,1.53,0
1.3538801670074463,1.28,-0.13,0.41,1.35,0
1.363692045211792,1.06,-0.07,0.5,1.17,0
1.3752238750457764,0.88,-0.07,0.64,1.09,0
1.3838942050933838,0.64,-0.04,0.61,0.88,0
1.3953580856323242,0.34,-0.06,0.7,0.78,0
1.4037010669708252,0.11,-0.03,0.66,0.66,0
1.4133760929107666,0.13,-0.2,0.46,0.51,0
1.423961877822876,0.17,-0.56,0.66,0.88,0
1.4330718517303467,0.13,-0.85,0.93,1.26,0
1.4450581073760986,-0.18,-0.94,0.92,1.32,0
1.4533579349517822,-0.67,-0.87,0.6,1.25,0
