ax,ay,az,atotal,soco
-0.11,0.06,-0.05,0.13,0
-0.08,-0.08,0.07,0.13,0
-0.08,0.07,0.08,0.13,0
-0.07,0.1,0.05,0.13,0
-0.05,-0.05,-0.11,0.13,0
-0.05,0.11,-0.07,0.13,0
-0.04,0.13,0.01,0.13,0
-0.03,-0.06,-0.12,0.13,0
-0.02,0.08,-0.11,0.13,0
0.12,0.05,0.07,0.14,0
0.11,0.08,0.06,0.14,0
0.09,0.05,-0.1,0.14,0
0.07,-0.09,-0.09,0.14,0
0.06,0.05,-0.12,0.14,0
0.06,-0.03,0.13,0.14,0
0.06,-0.1,-0.09,0.14,0
0.04,-0.08,0.12,0.14,0
0.0,-0.1,-0.11,0.14,0
-0.12,0.08,0.03,0.14,0
-0.12,-0.08,0.01,0.14,0
-0.11,0.01,-0.1,0.14,0
-0.11,-0.09,-0.02,0.14,0
-0.01,-0.14,0.03,0.14,0
0.14,0.01,0.06,0.15,0
0.13,0.07,-0.03,0.15,0
0.1,-0.07,0.09,0.15,0
0.1,0.02,-0.11,0.15,0
0.08,-0.12,-0.06,0.15,0
0.08,0.02,0.13,0.15,0
0.08,0.02,0.13,0.15,0
0.07,0.06,-0.13,0.15,0
0.03,0.01,-0.15,0.15,0
0.0,0.07,-0.14,0.15,0
-0.13,0.01,-0.08,0.15,0
-0.11,-0.05,-0.1,0.15,0
-0.11,-0.1,-0.02,0.15,0
-0.11,-0.05,-0.09,0.15,0
-0.07,-0.13,-0.04,0.15,0
-0.06,-0.12,-0.07,0.15,0
-0.05,-0.1,0.1,0.15,0
-0.05,-0.13,0.06,0.15,0
-0.05,0.07,0.13,0.15,0
-0.04,0.1,-0.11,0.15,0
-0.01,0.13,-0.09,0.15,0
0.15,-0.07,0.01,0.16,0
0.13,-0.05,0.08,0.16,0
0.09,0.03,0.14,0.16,0
0.08,-0.1,-0.1,0.16,0
0.08,-0.14,-0.05,0.16,0
0.07,-0.14,0.05,0.16,0
0.05,0.01,-0.16,0.16,0
0.04,-0.11,-0.12,0.16,0
0.03,-0.09,-0.13,0.16,0
0.03,-0.1,0.13,0.16,0
0.02,-0.02,0.16,0.16,0
0.0,-0.01,-0.16,0.16,0
-0.16,0.02,-0.01,0.16,0
-0.15,0.0,0.07,0.16,0
-0.15,0.03,0.06,0.16,0
-0.14,-0.08,-0.02,0.16,0
-0.11,-0.06,-0.1,0.16,0
-0.1,-0.02,-0.13,0.16,0
-0.09,0.03,-0.13,0.16,0
-0.09,0.0,-0.14,0.16,0
-0.08,-0.05,0.14,0.16,0
-0.08,0.02,-0.14,0.16,0
-0.07,0.14,-0.04,0.16,0
-0.06,-0.15,0.0,0.16,0
-0.03,-0.15,0.06,0.16,0
-0.03,0.16,0.02,0.16,0
-0.02,0.03,0.16,0.16,0
0.07,-0.01,-0.16,0.17,0
0.06,0.0,-0.16,0.17,0
0.05,0.07,-0.15,0.17,0
0.03,-0.1,-0.14,0.17,0
0.02,0.12,-0.12,0.17,0
0.02,0.17,0.0,0.17,0
0.01,-0.13,0.12,0.17,0
-0.16,0.02,-0.06,0.17,0
-0.15,0.0,-0.09,0.17,0
-0.14,-0.03,-0.1,0.17,0
-0.14,0.04,-0.09,0.17,0
-0.1,-0.14,0.0,0.17,0
-0.06,-0.14,0.08,0.17,0
