time,ax,ay,az,atotal
0.00562286376953125,0.01,-0.3,-0.58,0.65
0.015538930892944336,0.02,-0.33,-0.46,0.56
0.02544999122619629,0.08,-0.2,-0.38,0.43
0.03816080093383789,-0.01,-0.07,-0.07,0.09
0.045323848724365234,-0.1,0.06,0.41,0.42
0.05512094497680664,0.12,0.19,0.33,0.39
0.06514883041381836,0.14,0.14,0.12,0.23
0.07512378692626953,-0.07,0.05,0.11,0.13
0.08813595771789551,-0.15,0.1,0.12,0.21
0.09490013122558594,-0.1,0.13,0.04,0.16
0.10490083694458008,0.0,0.07,-0.1,0.12
0.1147758960723877,0.07,-0.04,-0.24,0.25
0.12465500831604004,0.07,-0.08,-0.31,0.32
0.13751506805419922,0.06,-0.11,-0.34,0.36
0.1445770263671875,0.03,-0.12,-0.28,0.3
0.15452003479003906,-0.06,-0.07,-0.02,0.09
0.16459393501281738,0.05,0.05,0.04,0.08
0.174407958984375,0.08,0.09,0.01,0.12
0.18752598762512207,-0.13,0.03,0.25,0.28
0.19432878494262695,-0.16,0.04,0.29,0.33
0.20412898063659668,-0.09,0.04,0.18,0.2
0.21425390243530273,-0.04,0.02,0.12,0.12
0.22409701347351074,0.03,0.0,0.02,0.03
0.2370290756225586,0.04,0.01,-0.1,0.1
0.24389982223510742,0.03,-0.01,-0.21,0.21
0.2536787986755371,-0.02,-0.06,-0.21,0.21
0.2638249397277832,-0.09,-0.07,-0.14,0.18
0.273745059967041,-0.08,-0.02,-0.08,0.11
0.2866787910461426,-0.03,0.02,0.02,0.04
0.2935500144958496,0.01,0.05,0.12,0.13
0.3035268783569336,0.04,0.1,0.11,0.15
0.3135199546813965,0.02,0.11,0.07,0.13
0.32335495948791504,-0.02,0.05,0.03,0.06
0.33631086349487305,-0.01,0.01,-0.05,0.05
0.3431510925292969,0.0,-0.02,-0.07,0.07
0.35300207138061523,-0.02,-0.02,0.04,0.04
0.3630218505859375,-0.02,0.01,-0.01,0.02
0.37291693687438965,-0.09,-0.04,-0.06,0.11
0.38581299781799316,-0.11,-0.07,0.01,0.13
0.3928549289703369,-0.06,0.0,0.13,0.14
0.4027137756347656,0.02,0.13,0.14,0.19
0.41276097297668457,0.12,0.27,0.06,0.3
0.4226799011230469,0.14,0.25,-0.14,0.31
